ASV,mean,region,LDA,pvalue,species
ASV9282_Lachnospiraceae,2.455499367,Masai_Mara,2.190391506,0.035839755,Zebra
ASV17532_Myxococcales,2.490783636,Laikipia,2.188350981,0.035721798,Zebra
ASV15530_Ruminococcus_1,2.498238951,Laikipia,2.188281343,0.004989147,Zebra
ASV11868_Ruminococcaceae,2.45474721,Laikipia,2.186991191,0.003172201,Zebra
ASV6050_Christensenellaceae_R_7_,2.649001782,Laikipia,2.182281686,0.03012307,Zebra
ASV8057_Erysipelotrichaceae_UCG_004,2.223046566,Laikipia,2.181024666,0.000924609,Zebra
ASV13411_Ruminococcaceae_UCG_007,2.480895375,Laikipia,2.180133314,0.013984046,Zebra
ASV16139_Kiritimatiellae_WCHB1_41,2.499088679,Laikipia,2.17728049,0.018090743,Zebra
ASV15216_Ruminococcaceae_UCG_014,2.417614525,Masai_Mara,2.175881846,0.007672554,Zebra
ASV2454_Bacteroidales_COB_P4_1,2.549989694,Laikipia,2.168362156,0.022899072,Zebra
ASV4730_Rikenellaceae_RC9,2.509746432,Laikipia,2.16423832,0.022632569,Zebra
ASV4082_Prevotellaceae_UCG_004,2.491293682,Laikipia,2.161028705,0.014172641,Zebra
ASV6069_Christensenellaceae_R_7_,2.605170236,Laikipia,2.160449408,0.020768202,Zebra
ASV16846_Victivallales,2.413085025,Laikipia,2.155909477,0.001488141,Zebra
ASV14162_Ruminococcaceae_UCG_010,2.530586887,Laikipia,2.155638136,0.04260139,Zebra
ASV8000_Erysipelotrichaceae_UCG_004,2.472568898,Laikipia,2.141182499,0.004979696,Zebra
ASV8016_Erysipelotrichaceae_UCG_004,2.503109934,Laikipia,2.134502395,0.01725435,Zebra
ASV16125_Kiritimatiellae_WCHB1_41,2.503828136,Laikipia,2.133121419,0.01154998,Zebra
ASV4729_Rikenellaceae_RC9,2.473305017,Laikipia,2.131993843,0.001983221,Zebra
ASV14328_Ruminococcaceae_UCG_010,2.396019821,Laikipia,2.125887977,0.003835121,Zebra
ASV15786_Veillonellaceae,2.511993986,Masai_Mara,2.125089068,0.038840755,Zebra
ASV17746_Rhodospirillales,2.334961878,Laikipia,2.121337265,0.015129578,Zebra
ASV16181_Kiritimatiellae_WCHB1_41,2.375968627,Laikipia,2.119059072,0.047615593,Zebra
ASV9057_Lachnospiraceae_UCG_008,2.437440078,Laikipia,2.118712323,0.022899072,Zebra
ASV4742_Rikenellaceae_RC9,2.452501788,Laikipia,2.117367574,0.008523405,Zebra
ASV5720_Methanomethylophilus_Can,2.343071732,Laikipia,2.115530122,0.003771557,Zebra
ASV14468_Ruminococcaceae_UCG_010,2.198320749,Laikipia,2.11495322,0.001898978,Zebra
ASV14384_Ruminococcaceae_UCG_010,2.29227149,Laikipia,2.111757895,0.007423243,Zebra
ASV19302_Mycoplasma,2.392666226,Laikipia,2.111598053,0.041881169,Zebra
ASV14381_Ruminococcaceae_UCG_010,2.362189135,Laikipia,2.110552449,0.02145506,Zebra
ASV16654_Oligosphaeraceae_horsej_a03,2.365389995,Laikipia,2.109921653,0.001219734,Zebra
ASV16173_Kiritimatiellae_WCHB1_41,2.417957912,Laikipia,2.109690811,0.046430861,Zebra
ASV4735_Rikenellaceae_RC9,2.459387065,Laikipia,2.109512342,0.035960744,Zebra
ASV14130_Ruminococcaceae_UCG_010,2.566597816,Laikipia,2.098911494,0.030158923,Zebra
ASV17262_Bradymonadales,2.319971503,Laikipia,2.097709305,0.009816936,Zebra
ASV583_Bacteria,2.327902832,Laikipia,2.097203741,0.032655918,Zebra
ASV8054_Erysipelotrichaceae_UCG_004,2.206303072,Laikipia,2.096749683,0.024520269,Zebra
ASV16203_Kiritimatiellae_WCHB1_41,2.358807818,Laikipia,2.092607156,0.003771557,Zebra
ASV530_Bacteria,2.505618885,Laikipia,2.091946894,0.030158923,Zebra
ASV5752_Methanomethylophilaceae,2.406273438,Laikipia,2.091576951,0.006898633,Zebra
ASV6423_Clostridia,2.42539881,Laikipia,2.091396241,0.020851477,Zebra
ASV11797_Ruminococcaceae,2.497999645,Laikipia,2.09058964,0.020879263,Zebra
ASV7573_Anaerovorax,2.534642468,Masai_Mara,2.085735836,0.042781884,Zebra
ASV16315_Kiritimatiellae_WCHB1_41,2.211542462,Laikipia,2.082198008,0.022676447,Zebra
ASV642_Bacteria,2.273793751,Laikipia,2.07534078,0.02502424,Zebra
ASV18450_Izimaplasmatales,2.440120825,Laikipia,2.071253243,0.049610623,Zebra
ASV593_Bacteria,2.320790549,Laikipia,2.066549463,0.013775814,Zebra
ASV17049_Pirellulaceae_p_1088_a5,2.420580529,Laikipia,2.060907485,0.039224651,Zebra
ASV8042_Erysipelotrichaceae_UCG_004,2.298854348,Laikipia,2.059918769,0.029800994,Zebra
ASV634_Bacteria,2.289256353,Laikipia,2.058383505,0.031644807,Zebra
ASV7992_Erysipelotrichaceae_UCG_004,2.276532322,Laikipia,2.056783368,0.033121774,Zebra
ASV14492_Ruminococcaceae_UCG_010,2.22087898,Laikipia,2.055130669,0.031644807,Zebra
ASV4796_Rikenellaceae_RC9,2.293134883,Laikipia,2.051306787,0.033121774,Zebra
ASV2739_Bacteroidales_RF16_,2.239547956,Laikipia,2.050856469,0.009816936,Zebra
ASV16244_Kiritimatiellae_WCHB1_41,2.258720902,Laikipia,2.049623048,0.005465441,Zebra
ASV15313_Ruminococcaceae_UCG_014,2.206038852,Laikipia,2.049105677,0.047244184,Zebra
ASV8299_Erysipelotrichaceae,2.297475197,Laikipia,2.048708791,0.015918802,Zebra
ASV13344_Ruminococcaceae_UCG_005,2.339131233,Laikipia,2.048312708,0.04260139,Zebra
