Group,sample_date,sample_month,sample_year,species,species_short,tax_name,Order,Family,Genus,broad_diet,digestive_system,fermenter,diet_guild,region
GIR201,1-Mar-15,march,2015,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR202,1-Mar-15,march,2015,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR203,1-Mar-15,march,2015,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR204,8-Mar-15,march,2015,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR205,8-Mar-15,march,2015,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
GIR209,10-Mar-15,march,2015,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0022,15-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0025,15-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0124,20-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0142,21-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0143,21-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0212,25-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0213,25-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0214,25-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0217,25-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0259,29-Jul-16,july,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0313,6-Aug-16,august,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0314,6-Aug-16,august,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0316,6-Aug-16,august,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0317,6-Aug-16,august,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0337,6-Aug-16,august,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0338,6-Aug-16,august,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
LM0339,6-Aug-16,august,2016,Reticulated_giraffe,Giraffe,Giraffa camelopardalis reticulata,Artiodactyla,Giraffidae,Giraffa,herbivore,ruminant,foregut,browser,Laikipia
IMP102,29-Oct-14,october,2014,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP103,29-Oct-14,october,2014,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP104,30-Oct-14,october,2014,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP105,30-Oct-14,october,2014,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP106,30-Oct-14,october,2014,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
HAR104,2-Nov-14,november,2014,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP201,2-Mar-15,march,2015,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP202,2-Mar-15,march,2015,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP203,2-Mar-15,march,2015,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP204,2-Mar-15,march,2015,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP205,2-Mar-15,march,2015,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
IMP209,3-Mar-15,march,2015,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0296,10-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0013,15-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0014,15-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0015,15-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0016,15-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0017,15-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0018,15-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0019,15-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0020,15-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0139,20-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0145,21-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0155,22-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
