region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV5916.Christensenellaceae_R.7.	0.000113812	0.000211486	0.000446783	0	0.000283058	0.000242469	0.00012054	0.000154104	0.000181092	0.000159099	0	0.000207157	0.000507471	0.000270321	0.000179741	0.000286287	0.0001443	0.000599274	9.60676E-05	0.000106572	0.000380844	3.05427E-05	0.000253637	0.000239735
ASV1948.Bacteroidales	0.013566421	0.007589999	0.005758539	0	0.010255405	0.001039153	0.010113308	0.009939707	0.001569461	0.001929081	0.001686729	0.002744834	0.005356639	0.007984862	0.00855052	0.006799313	0.008018965	0.000907472	0.004002818	0.007602131	0.007474055	0.008750496	0.00769862	0.003183144
ASV2455.Bacteroidales_F082	0.012746973	0.007801485	0.001414813	0	0.004028132	0.008428685	0.007099807	0.009901181	0.001557388	0.000477298	0.003015666	0.005455142	0.003890612	0.005073714	0.002490692	0.011147295	0.013110699	0.00243134	0.0055399	0.008312611	0.004982703	0.001740936	0.009817232	0.002863498
ASV4260.Rikenellaceae	0.012883547	0.0030313	0.000893566	0	0.003679753	0.008394047	0.001591128	9.6315E-05	0.001400442	0.006423642	0.042986021	0.002157888	0.002424584	0.003472583	0.007112595	0.006101489	0.004370233	0.004622971	0.003170232	0.018401421	0.002935669	0.004688311	0.004744498	0.000439514
ASV9155.Lachnospiraceae	0	0	0	0.004249652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4042.Prevotellaceae_UCG.004	0.006009287	0.006626563	0.005907466	0	0.005465195	0.002355413	0.011366924	0.008533508	0.002571501	0.000258537	0.001610059	0.006145666	0.008119538	0.005448005	0.009474901	0.004025909	0.008493094	0	0.001777251	0.005452931	0.005236599	0.01113283	0.005520328	0.005433986
ASV7942.Erysipelotrichaceae_UCG.004	0.000136575	0.000258483	0.00019857	0	6.53211E-05	0.000392569	0.00048216	0.001097991	0.000736439	0.000596623	0.000613356	6.90524E-05	0.001155906	0.000270321	0.00028245	0.000339966	0.00191713	0.000547908	0.000736519	0.000373002	0.00072995	0.000519227	0.000447594	0.000399558
ASV15517.Ruminococcus_1	0.009628517	0.008741423	0.013105639	0	0.014435953	0.005461326	0.004918033	0	0.002342118	0.003520076	0.00153339	0.009080394	0.001719763	0.004990539	0.001643343	0.005528915	0.006287363	0.001404013	0.005523889	0.002664298	0.004316227	0.008277084	0.003610593	0.005314119
ASV4395.Rikenellaceae_RC9	0.002549395	0.002373343	0.004641581	0	0.002155595	0.004329804	0.004447927	0.009592973	0.011722664	0.002605254	0.000127782	0.004074093	0.003890612	0.003763698	0.003594813	0.011737761	0.007833436	0.00089035	0.011351992	0.002877442	0.004570123	0.00355823	0.002625886	0.006779164
ASV12982.Ruminococcaceae_NK4A214	0.000113812	7.04953E-05	7.44639E-05	0	0.000174189	3.46384E-05	6.027E-05	0.000250419	0.000132801	3.97749E-05	5.1113E-05	0.000189894	0.000253736	6.23817E-05	0.000154063	0.000286287	2.06143E-05	0.000376687	0	0	6.34739E-05	6.10855E-05	0.000193957	1.33186E-05
ASV5917.Christensenellaceae_R.7.	6.82874E-05	4.69969E-05	0.000223392	0.001194603	0.000130642	0.000103915	0.000144648	0.000211893	6.03639E-05	0	7.66695E-05	0.000189894	8.45785E-05	0.00010397	0.000102709	5.36788E-05	0.000123686	3.42442E-05	6.40451E-05	0.000124334	7.93424E-05	0.000137442	4.47594E-05	0.000332965
ASV4397.Rikenellaceae_RC9	0.000637349	0.001597895	0	0	0.000217737	0	0.006014947	0.006029318	0.004116816	0	0	3.45262E-05	0.003834226	0	0	0.00690667	0.007524222	0	0.01649161	0.011563055	0.003919515	0.014309276	0.013024991	0.00994899
ASV18003.Treponema_2	0.00232177	0.003454272	0.002556593	0	0.004899079	0.00095833	0.000265188	7.7052E-05	0.001026186	0.000994372	0.000332234	0.000569683	0.000169157	0.00143478	0.000718963	0.00030418	0.000350443	0.002379974	0.000368259	0.000195382	0.000111079	0.000259613	0.000372995	0.000253053
ASV11299.Planococcaceae	0	0	0	5.8751E-05	0	0	0.015646095	0	0.003102703	0.000139212	0	0	0	0	0	1.78929E-05	2.06143E-05	0	0	0	0	0	0	0
ASV5920.Christensenellaceae_R.7.	0.003095693	0.002608328	0.00327641	0	0.002678163	0.003140551	0.005364031	0.003563655	0.002028226	0.002645029	0.004600169	0.004885459	0.006174232	0.007756129	0.007086917	0.003811194	0.009420738	0.003373057	0.004611246	0.004085258	0.003887778	0.005574051	0.006206639	0.010907929
ASV11314.Solibacillus	0	0	0	0.000470008	0	0	0.009390068	1.9263E-05	0.005299948	3.97749E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV2857.Bacteroidia	0.006601111	0.012853652	0.007222994	0	0.005334553	0.003925689	0.003146095	0.000789783	0.001497024	0.018276555	0.001610059	0.005506931	0.005638568	0.003327026	0.009551932	0.002433438	0.001855288	0.001729334	0.008021647	0.001829485	0.000745819	0.004016371	0.00080567	0.008204254
ASV18006.Treponema_2	0.006236912	0.00242034	0.0061805	0	0.014218216	0.002112944	0.002422854	0.006433841	0.002342118	0.002824016	0.005673541	0.000914945	0.00169157	0.005406417	0.00297856	0.003328085	0.009461967	0.001934799	0.003138209	0.003055062	0.00439557	0.004382884	0.004013428	0.005633765
ASV1859.Bacteroides	4.55249E-05	0	0	0.009184733	0	0	0	0	0	0	0	0	0	0	0	1.78929E-05	0	0	0	0	1.58685E-05	0	0	0
ASV2562.Bacteroidales_p.251.o5	0.001934808	0.001550898	0.001613384	0	0.001807216	0.000311746	0.000638862	0.001367673	0.00043462	0.000457411	0.000408904	0.000258947	8.45785E-05	0.000332703	0.00046219	0.000232608	0.000123686	0.000975961	0.000160113	0.000586146	0.001285347	0.000626126	0.00074599	0.000293009
ASV9162.Lachnospiraceae	0.001251935	0.001221919	0.00153892	0	0.002046726	0.000715861	0.000711186	0.00019263	0.000313892	0.000835272	0.000766695	0.000379788	0.000169157	0.000332703	0.000410836	0.000250501	0.000123686	0.000547908	0.000224158	0.000390764	0.000444317	0.000229071	0.00074599	0.000133186
ASV7943.Erysipelotrichaceae_UCG.004	0.000318674	0	0.000694996	0	0.000174189	0.001246984	0.000108486	0.000558627	0.002643938	0.005031522	0.007002479	0.000535156	0.003636876	0.00324385	0.003954295	0.009823218	0.005318491	0.029672625	0.00012809	0.015914742	0.003364118	0.002031093	0.005773965	0.00179801
ASV4411.Rikenellaceae_RC9	0.001707184	0.004887677	0.006279786	0	0.004790211	0.008751977	0.003652363	0.000751257	0.002366264	0.001392121	0.000102226	0.001432838	0.002537356	0.002141773	0.001104121	0.007443458	0.005957535	0.00089035	0.005619956	0.005435169	0.010774699	0.007986928	0.003894069	0.005047747
ASV4413.Rikenellaceae_RC9	0.001957571	0.003571764	0.001365171	0	0.000870947	0.000750499	0.002314368	0.00211893	0.002752593	0.001073922	0.002274528	0.001691784	0.007809416	0.00792248	0.007549108	0.004330089	0.005236034	0.001472502	0.001569105	0.009609236	0.007696214	0.005314438	0.009578515	0.011107707
ASV12964.Ruminiclostridium_9	0	0	0	0.005326753	0	0	0	0	2.41455E-05	0	0	0	2.81928E-05	0	2.56772E-05	0	0	0	0	0	0	0	0	0
