region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV2674.Bacteroidales_RF16.	0.004991507	0.003868878	0.002145385	0.005561958	0.012422607	0.006826877	0.002372451	0.003675358	0.007355909	0.017975001	0.007612861	0.001933743	0.004529842	0.012178668	0.002532067	0.006941265	0.002065562	0.013779083	0.002135175	0.00579062	0.011635629	0.005667594	0.002915884	0.003283921	0.006444463	0.00397175	0.005286679	0.002847787	0.014297503	0.004067089	0.004419999	0.000858886	0.004977601	0.006614364	0.002984446	0.00250986	0.004443682
ASV11282.Romboutsia	0.001411211	0.002369313	0.000612967	0.000400862	0.003571996	0.000575158	0.009657552	0.003783457	0.000715413	0.000657881	0.001446444	0.001402495	0.000846234	0.000142025	0.000433117	0.001534255	0.003251348	0.000496951	0.000158161	0.000773994	0.000259853	3.47705E-05	0.000642483	0.002083773	0.001108175	0.001538354	0.00360904	0.001971545	0.00052776	0.001449899	0.002248578	0.000964364	0.000142217	0.000328256	0.000804934	0.00033746	0.00099788
ASV7150.Clostridiales_vadinBB60.	0.000104534	0.000869748	0.000306484	0.000801724	0.000773932	0.000825227	0.00028757	0.000518874	0.001063947	8.48878E-05	7.61286E-05	0.0001275	0.002090696	0.001420253	0.000966184	0.000692889	0.000191256	0.00135532	0.000606284	0.001719986	0.001847842	0.001008345	0.001779184	0.002202469	0.001994715	0.000433536	0.00115602	0.002248253	0.001947915	0.001204153	0.001377805	0.000753409	0.001303657	0.001509979	0.003095899	0.002088035	0.001528003
ASV4117.Alistipes	0.006428851	0.007077947	0.001504555	0.004259157	0.004504683	0.008227262	0.005008507	0.005837333	0.010089151	0.005432822	0.001294186	0.003463737	0.007964558	0.00820196	0.009761786	0.008079583	0.002218567	0.007409081	0.000685365	0.003554638	0.003580193	0.003581363	0.020979539	0.00514349	0.004552042	0.000433536	0.004116561	0.001060714	0.005719001	0.009080297	0.004276707	0.001521887	0.005427955	0.002790179	0.003851298	0.002657499	0.003664089
ASV1850.Bacteroides	0	0.003239061	2.78621E-05	5.01077E-05	3.96888E-05	0.001050289	0	0.001686341	0.000715413	0	0	0.000488748	0.000846234	0.000532595	0.000266533	3.71191E-05	0	0	0	0.000659328	0	0	0.000988435	0.000395653	5.11465E-05	4.19551E-05	0.000493423	4.6118E-05	0.000230295	1.22873E-05	3.30673E-05	0	0.000260731	4.92384E-05	0.000198138	0.000189821	1.55919E-05
ASV13223.Ruminococcaceae_UCG.005	0.01121129	0.007497826	0.00886016	0.007365837	0.007104302	0.0087274	0.010903688	0.002443032	0.006805591	0.007873347	0.004618469	0.009328715	0.008313007	0.006107087	0.011760786	0.014204229	0.000765023	0.003840072	0.003769507	0.00378397	0.006698426	0.007892907	0.004596224	0.00176725	0.00944506	0.00760786	0.001889107	0.001210598	0.003204944	0.007212631	0.009666681	0.004912228	0.004053189	0.004792542	0.003715078	0.004197161	0.002182861
ASV5843.Phascolarctobacterium	0.007395792	0.004588669	0.005711738	0.00375808	0.003433085	0.005476506	0.00536797	0.007588533	0.00370547	0.005560154	0.006267922	0.003357487	0.003733386	0.002982531	0.002931867	0.004454288	0.003251348	0.00185227	0.004138549	0.002665979	0.004648477	0.002155772	0.001309677	0.001595801	0.001227517	0.002545277	0.001677639	0.001521895	0.002936266	0.002568041	0.002821745	0.007082046	0.004503544	0.004595588	0.003529324	0.003585515	0.006392666
ASV2844.Bacteroidia	0	8.99739E-05	0.001811039	0.001403016	0.000932688	0.001750481	0	0.000108099	0.001430825	0.000763991	0.000304514	0.001508744	0.001792025	0.001242721	0.000766284	0.000457802	0.000497265	0.001807093	0.000316322	0.001347323	0.00239642	0.002121001	0.001853316	0.000738552	0.000323928	1.3985E-05	0.001677639	0.000484239	0.000978755	0.003821343	0.001322693	0.001687637	0.000284434	0.000147715	0.000470577	0.001075654	0.000592491
ASV2675.Bacteroidales_RF16.	0.000627205	0.003838887	0.005182358	0.003507541	0.005794571	0.009352572	0.001917132	0.002356553	0.002146238	0.0171049	0.010480372	0.002316241	0.007118323	0.005467973	0.003231717	0.005988543	0.000573767	0.009984188	0.000263602	0.001662653	0.009614552	3.47705E-05	0.00615301	0.001569424	0.001091126	0.004573107	0.003143812	0.001279775	0.001861554	0.004570867	0.006767779	0.002787614	0.001114034	0.001509979	0.000532495	0.00166621	0.000608083
ASV13451.Ruminococcaceae_UCG.010	0.000261335	0.001589539	0.002424006	0	0.000198444	0.003025832	7.18924E-05	0	0.001522545	0.001167208	5.07524E-05	8.49997E-05	0.002190253	0.002059367	0.002365484	0.00065577	3.82512E-05	0.003569008	0.001133488	0.003124642	0.003782301	0.001182197	0.002569932	0.003270732	0.002540278	0.001636249	0.002692682	0.004842392	0.000412613	3.68618E-05	0.003857855	0.0016575	0.001208846	0.001066833	7.43016E-05	0.001307658	0.001793065
