region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV12980.Ruminococcaceae_NK4A214	0.007087429	0.005678547	0.006175415	0.004802413	0.007839345	0.006121242	0.005749371	0.005953893	0.009659824	0.00068001	0.003282804	0.007783447	0.005660492	0.002193854	0.005791009	0.005633551	0.008649358	0.002602568	0.00165667	0.015064854	0.005630913	0.00902205	0.004628114	0.004614129	0.005314364	0.003324482	0.005741781	0.004282681	0.002087262	0.001477787
ASV5913.Christensenellaceae_R.7.	0.000258665	0.000157011	0.000166903	0.000251366	0.000312384	0.000411512	0.000457795	0.000818308	0.000277581	0.000612009	0.001078176	0.000803054	0.00057513	0.00038154	0.000278826	0.000178843	0	0.000748852	0.000271351	0	0.000547133	3.36644E-05	0.000938721	0.000323552	0.000235271	0.000418174	0.000508451	0.000146416	0.000332064	0.000184723
ASV8668.Acetitomaculum	0.002819452	0.004422463	0.004193441	0.00498763	0.004224619	0.005092462	0.003998977	0.011597393	0.00162385	0.003275381	0.015126645	0.00441062	0.010231263	0.004514888	0.005104667	0.006016786	0.002498009	0.002909475	0.004841474	0.001187686	0.001025875	0.001750547	0.00270701	0.003404327	0.008206817	0.003293119	0.001078909	0.001732595	0.0144448	0.003219465
ASV11252.Peptococcaceae	2.58665E-05	0.000157011	8.34516E-05	0.000211677	0.00019338	0.000308634	0.00032315	5.6435E-05	8.32743E-05	0.000192669	0.000354028	6.17734E-05	0.00021189	0.000143077	4.28964E-05	6.38725E-05	1.56126E-05	7.36576E-05	0.000371322	3.12549E-05	6.83917E-05	0.000100993	2.18307E-05	0.000140675	9.68764E-05	3.1363E-05	3.72038E-05	0	0.00021347	6.59726E-05
ASV11297.Planococcaceae	0	0.015177684	0	0	0	0	4.03937E-05	5.6435E-05	0	0.000328671	0	0	0	0	0	0	0	0.003363697	0	0	0	0	4.36614E-05	0.001828771	0.000498222	0.000209087	0.000260426	0.002513483	2.37189E-05	0
NA.	0.000103466	5.23368E-05	4.17258E-05	3.96894E-05	8.92525E-05	0.000257195	0.000161575	0.000197523	2.77581E-05	5.66675E-05	0	0	0	3.1795E-05	8.57927E-05	0.00011497	0	0.000282354	2.85633E-05	0.000437568	0.000227972	0	0.000502107	4.22024E-05	8.30369E-05	1.04543E-05	4.9605E-05	8.54096E-05	0.000166032	0
ASV12981.Ruminococcaceae_NK4A214	0.001733057	0.002930863	0.001460402	0.001838941	0.002915582	0.001851804	0.002490945	0.002059878	0.004038806	0.000510007	0.00259084	0.00248329	0.002724301	0.001033337	0.003496054	0.000536529	0.000593277	0.001227627	0.001042559	0.002531646	0.001253847	0.001279246	0.002554195	0.001561489	0.001466986	0.001087252	0.001686571	0.001854608	0.00170776	5.27781E-05
ASV2680.Bacteroidales_RF16.	0.008303156	0.000889726	0.020988066	0.002963473	0.005027891	0.006944266	0.004322126	0.001608398	0.001721003	0.001054015	0.006324225	0.00039535	0.006719942	0.003942578	0.005104667	0.001635135	0.000343476	0.001350389	0.000499857	0.00281294	0.002325316	0.00185154	0.000851398	0.00777931	0.008566644	0.004746273	0.004129618	0	0.023944213	0.00154376
ASV2853.Bacteroidia	0.002379721	0.0014916	0.000876241	0.00750129	0.001309037	0.001517451	0.001427244	0.001298005	0.003178304	0.003751388	0.005004667	0.004645359	0.004146991	0.001812314	0.00920127	0.004062288	0.001701769	0.002848093	0.005355613	0.00128145	0.003465177	0.001683218	0.00240138	0.002349267	0.003293799	0.003230393	0.002108213	0.000854096	0.022260172	0.012178548
ASV18000.Treponema_2	0.007320228	0.002014968	0.003776183	0.005172847	0.008642618	0.007510095	0.005897481	0.006687548	0.013629235	0.004125394	0.004039136	0.001556689	0.00078702	0.00551643	0.009351407	0.007485852	0.000562052	0.001239903	0.008083405	0.002344116	0.005402941	0.003063457	0.000633091	0.001856906	0.004663908	0.001379974	0.00236864	0.002318261	0.001351976	0.002559738
ASV3273.Marinilabiliaceae	0	0.004841158	0	0	0.005459279	0	0.002288977	0.002567793	0	0.000204003	0.011924302	0	0.00066594	0.00462617	0	0	0	0	0.001371037	0.016690108	0	0.014677664	0.005261205	0.000661171	0.003196922	0.025874506	0.024145243	0	0	0.000395836
ASV11313.Solibacillus	0	0.000811221	0	0	2.97508E-05	0	0	0	0	0.001110683	0	0	0	0	0	2.5549E-05	0	0.024810332	0	0	2.27972E-05	0	4.36614E-05	0.000689306	1.38395E-05	1.04543E-05	4.9605E-05	0.005734645	1.18594E-05	0
ASV5916.Christensenellaceae_R.7.	0.002069322	0.001020568	0.004589836	0.002553349	0.00428412	0.003034901	0.004874174	0.002088095	0.00176264	0.001734025	0.002397734	0.017543643	0.00066594	0.001192312	0.014713452	0.002618771	0.002357496	0.003474183	0.000771208	0.002594155	0.003715947	0.001918869	0.003973192	0.003981093	0.009687643	0.001359065	0.001413743	0.006210498	0.002668374	0.002467377
ASV9153.Lachnospiraceae	0.01319193	0.004736484	0.001669031	0.012383082	0.016972852	0.002751987	0.016494096	0.00440193	0.001054808	0.003196047	0.004570178	0.003792886	0.006901562	0.000174872	0.001758751	0.001711782	0.001920345	0.00039284	0.001499572	0.001312705	0.002097344	0.001009931	0.006199926	0.001012858	0.004096489	0.002603132	0.002219825	0.002611093	0.001091069	0.001385425
ASV356.Bacteria	0.003362649	0.002276653	0.001481265	0.002817945	0.002008181	0.00259767	0.002235118	0.002624228	0.004163717	0.00249337	0.002800039	0.003026896	0.002784841	0.001701032	0.004311084	0.001520165	0.000889916	0.008900292	0.001856612	0.004188154	0.012675254	0.006328901	0.003252778	0.002546212	0.005009895	0.003481297	0.005084515	0.014836868	0.000972474	0.002876407
